"CODE","APPLICATION_CODE","DESCRIPTION","PERMISSION_SUM","OPTIMISTICLOCKVERSION"
"USER_ACCOUNT","SMM","Account management","1999","0"
"USER_ROLE","SMM","ROLE management","15","0"
"SMS_SERVICE_PROVIDER_REPORT","SMM","SMS_SERVICE_PROVIDER_REPORT","2","0"
"SMS_SERVICE_REPORT_SENT","SMM","SMS_SERVICE_REPORT_SENT","2","0"
"SMS_SERVICE_REPORT_SENDER","SMM","SMS_SERVICE_REPORT_SENDER","2","0"
"SMS_SERVICE_TOTAL_DAILY","SMM","SMS_SERVICE_TOTAL_DAILY","2","0"
"SMS_SERVICE_TOTAL_MONTH","SMM","SMS_SERVICE_TOTAL_MONTH","2","0"
"SMS_SERVICE_PROVIDER","SMM","SERVICE_PROVIDER","6","0"
