"ID","NAME","DESCRIPTION","OPTIMISTICLOCKVERSION"
"1","CREATE","CREATE Permission","0"
"2","VIEW","","0"
"4","EDIT","","0"
"8","DELETE","","0"
"16","APPROVAL","APPROVAL","0"
"64","ASSIGN USER ROLE","","0"
"128","SSO CONECTION","","0"
"256","CHANGE STATUS","","0"
"512","RESET PASSWORD","","0"
"1024","RE-SEND ACTIVATIOR EMAIL","","0"
